item_id,title,author_last,author_first,gr_id,cover_img_url
11211,sir gawain and the green knight pearl and sir orfeo,tolkien, j r r ,23613,https://images.gr-assets.com/books/1354555703m/23613.jpg
11212,the wounded buzzard on christmas eve,erickson, john r 1943 ,481570,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11213,bonnie bergins guide to bringing out the best in your dog,bergin, bonnie ,11423230,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11214,the door in the wall,de angeli, marguerite,72543,https://images.gr-assets.com/books/1403190050m/72543.jpg
11215,the call of the wild and white fang ,london, jack,991314,https://images.gr-assets.com/books/1328753125m/991314.jpg
11216,the case of the missing cat,erickson, john r ,10414586,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11217,general chemistry,pauling, linus,1081360,https://images.gr-assets.com/books/1328862582m/1081360.jpg
11218,junie b jones has a monster under her bed,park, barbara,1167,https://images.gr-assets.com/books/1353101552m/1167.jpg
11219,down the road ,schertle, alice ,89709,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11220,marvin redpost why pick on me ,sachar, louis,85036,https://images.gr-assets.com/books/1320394744m/85036.jpg
11221,nightmares ,segel, jason,19480623,https://images.gr-assets.com/books/1451270339m/19480623.jpg
11222,homeschooling 101 a guide to getting started,arndt, erica,29242464,https://images.gr-assets.com/books/1470638636m/29242464.jpg
11223,how to reach and teach add adhd children,rief, sandra f ,16085450,https://images.gr-assets.com/books/1367929718m/16085450.jpg
11224,the dog is not a toy house rule 4,conley, darby ,374415,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11225,girl online,sugg, zoe,22510983,https://images.gr-assets.com/books/1410112710m/22510983.jpg
11226,santa claus doesnt mop floors,dadey, debbie ,10284337,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11227,happy boo day to you ,jones, marcia thornton ,6262094,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11228,the wedding party,guillory, jasmine,184855,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11229,beneath a scarlet sky a novel,sullivan, mark t ,33143055,https://images.gr-assets.com/books/1485304031m/33143055.jpg
11230,star wars episode iii revenge of the sith cd ,stover, matthew woodring ,169894,https://images.gr-assets.com/books/1330807250m/169894.jpg
11231,rogue,sullivan, mark t ,16101109,https://images.gr-assets.com/books/1406808088m/16101109.jpg
11232,u s s seawolf cd ,robinson, patrick ,533823,https://images.gr-assets.com/books/1415677941m/533823.jpg
11233,secrets in death,robb, j d ,32835140,https://images.gr-assets.com/books/1504766639m/32835140.jpg
11234,innocent in death cd ,robb, j d ,6474080,https://images.gr-assets.com/books/1344520630m/6474080.jpg
11235,cross bones,reichs, kathy ,1740369,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11236,parenting that works building skills that last a lifetime,christophersen, edward r ,25918534,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11237,have a new kid by friday how to change your childs attitude behavior character in 5 days,leman, kevin ,3152629,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11238,family first your step by step plan for creating a phenomenal family,mcgraw, phillip c ,68369,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11239,alibi,woods,teri,354180,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11240,the frog prince continued,scieszka, jon ,820075,https://images.gr-assets.com/books/1349139619m/820075.jpg
11241,the cheer up cupcakes,honeywell, lorna,447347,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11242,the good bye book ,viorst, judith ,18118638,https://images.gr-assets.com/books/1374654940m/18118638.jpg
11243,little blue and little yellow a story for pippo and other children,lionni, leo,183524,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11244,grandfathers journey,say, allen ,208146,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
11245,sylvester and the magic pebble,steig, william,457762,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
